sku,product_type,category
805299,Plates & Bowls,Tableware & Drinkware:1
805300,Plates & Bowls,Tableware & Drinkware:1
806500,Bowls,Cookware & Bakeware:1
102125,Cooking Utensils,Cutlery:1
102128,Cooking Utensils,Cutlery:1
1103893,Cooking Utensils,Cutlery:1
1103894,Cooking Utensils,Cutlery:1
1103895,Cooking Utensils,Cutlery:1
1103926,Cooking Utensils,Cutlery:1
1103937,Cooking Utensils,Cutlery:1
804409,Cooking Utensils,Cutlery:1
804792,Cooking Utensils,Cutlery:1
804817,Cooking Utensils,Cutlery:1
804823,Cooking Utensils,Cutlery:1
804848,Cooking Utensils,Cutlery:1
804858,Cooking Utensils,Cutlery:1
804887,Cooking Utensils,Cutlery:1
804888,Cooking Utensils,Cutlery:1
804889,Cooking Utensils,Cutlery:1
804899,Cooking Utensils,Cutlery:1
804900,Cooking Utensils,Cutlery:1
804901,Cooking Utensils,Cutlery:1
804905,Cooking Utensils,Cutlery:1
804906,Cooking Utensils,Cutlery:1
804907,Cooking Utensils,Cutlery:1
804952,Cooking Utensils,Cutlery:1
804969,Cooking Utensils,Cutlery:1
804970,Cooking Utensils,Cutlery:1
804972,Cooking Utensils,Cutlery:1
804978,Cooking Utensils,Cutlery:1
804979,Cooking Utensils,Cutlery:1
805006,Cooking Utensils,Cutlery:1
805017,Cooking Utensils,Cutlery:1
805018,Cooking Utensils,Cutlery:1
805019,Cooking Utensils,Cutlery:1
805020,Cooking Utensils,Cutlery:1
805028,Cooking Utensils,Cutlery:1
805030,Cooking Utensils,Cutlery:1
805038,Cooking Utensils,Cutlery:1
805042,Cooking Utensils,Cutlery:1
805043,Cooking Utensils,Cutlery:1
805044,Cooking Utensils,Cutlery:1
805178,Cooking Utensils,Cutlery:1
805180,Cooking Utensils,Cutlery:1
805181,Cooking Utensils,Cutlery:1
805182,Cooking Utensils,Cutlery:1
805183,Cooking Utensils,Cutlery:1
805184,Cooking Utensils,Cutlery:1
805185,Cooking Utensils,Cutlery:1
805186,Cooking Utensils,Cutlery:1
805221,Cooking Utensils,Cutlery:1
805222,Cooking Utensils,Cutlery:1
805223,Cooking Utensils,Cutlery:1
805224,Cooking Utensils,Cutlery:1
805225,Cooking Utensils,Cutlery:1
805226,Cooking Utensils,Cutlery:1
805227,Cooking Utensils,Cutlery:1
805296,Cooking Utensils,Cutlery:1
805305,Cooking Utensils,Cutlery:1
805340,Cooking Utensils,Cutlery:1
805341,Cooking Utensils,Cutlery:1
805347,Cooking Utensils,Cutlery:1
805351,Cooking Utensils,Cutlery:1
805352,Cooking Utensils,Cutlery:1
805355,Cooking Utensils,Cutlery:1
805357,Cooking Utensils,Cutlery:1
805363,Cooking Utensils,Cutlery:1
805364,Cooking Utensils,Cutlery:1
805365,Cooking Utensils,Cutlery:1
805367,Cooking Utensils,Cutlery:1
805369,Cooking Utensils,Cutlery:1
805379,Cooking Utensils,Cutlery:1
805386,Cooking Utensils,Cutlery:1
805390,Cooking Utensils,Cutlery:1
805393,Cooking Utensils,Cutlery:1
805394,Cooking Utensils,Cutlery:1
805395,Cooking Utensils,Cutlery:1
805401,Cooking Utensils,Cutlery:1
806393,Cooking Utensils,Cutlery:1
806457,Cooking Utensils,Cutlery:1
